seqnames	start	end	width	strand	gene_id	SYMBOL	gene_name	logFC	logCPM	F	PValue	FDR	mlog10PValue	simple_gene_name
chr12	56104537	56113910	9374	+	ENSG00000170515.14	PA2G4	PA2G4	0.296	7	8.02	0.0144	0.14	1.84	PA2G4
chr19	7112255	7294414	182160	-	ENSG00000171105.14	INSR	INSR	-0.442	4.68	8	0.0144	0.14	1.84	INSR
chr15	23685400	23687305	1906	-	ENSG00000182636.8	NDN	NDN	0.656	2.52	8	0.0144	0.14	1.84	NDN
chr17	36165683	36176636	10954	-	ENSG00000274808.6	TBC1D3B	TBC1D3B	-0.668	1.54	8	0.0144	0.14	1.84	TBC1D3B
chr9	105447796	105552433	104638	+	ENSG00000106701.13	FSD1L	FSD1L	-0.873	1.47	7.99	0.0145	0.14	1.84	FSD1L
chr10	71212570	71302864	90295	+	ENSG00000107731.12	UNC5B	UNC5B	-0.68	6.16	7.98	0.0145	0.14	1.84	UNC5B
chr1	182573634	182589256	15623	-	ENSG00000135828.11	RNASEL	RNASEL	-0.283	4.56	7.98	0.0145	0.14	1.84	RNASEL
chr15	40594020	40664342	70323	+	ENSG00000137812.21	KNL1	KNL1	1.17	5.38	7.98	0.0145	0.14	1.84	KNL1
chr2	169791933	169812064	20132	+	ENSG00000138385.16	SSB	SSB	0.31	6.64	7.98	0.0145	0.14	1.84	SSB
chr11	62337448	62393412	55965	+	ENSG00000162174.12	ASRGL1	ASRGL1	-0.501	5.32	7.98	0.0145	0.14	1.84	ASRGL1
chr7	92112159	92179511	67353	-	ENSG00000285772.1	NA	NA	-0.968	-0.234	7.99	0.0145	0.14	1.84	ENSG00000285772.1
chr16	55509072	55586666	77595	+	ENSG00000087253.13	LPCAT2	LPCAT2	0.435	8.15	7.97	0.0146	0.14	1.84	LPCAT2
chr20	25391008	25452700	61693	+	ENSG00000101003.12	GINS1	GINS1	1.25	4	7.97	0.0146	0.14	1.84	GINS1
chr2	233833416	233854566	21151	-	ENSG00000123485.12	HJURP	HJURP	0.962	4.24	7.96	0.0146	0.14	1.84	HJURP
chr11	19224063	19241620	17558	-	ENSG00000129173.13	E2F8	E2F8	1.28	3.15	7.96	0.0146	0.14	1.84	E2F8
chr2	173354820	173368997	14178	+	ENSG00000144354.15	CDCA7	CDCA7	1.86	1.97	7.96	0.0146	0.14	1.83	CDCA7
chr11	61799627	61829318	29692	-	ENSG00000149485.19	FADS1	FADS1	1.06	8.15	7.97	0.0146	0.14	1.84	FADS1
chr11	66520637	66546235	25599	-	ENSG00000174165.8	ZDHHC24	ZDHHC24	-0.361	4.84	7.97	0.0146	0.14	1.84	ZDHHC24
chr19	3585478	3593541	8064	+	ENSG00000179855.9	GIPC3	GIPC3	1.12	1.67	7.96	0.0146	0.14	1.84	GIPC3
chr11	59208510	59212927	4418	-	ENSG00000197629.6	MPEG1	MPEG1	-0.606	7.84	7.97	0.0146	0.14	1.84	MPEG1
chr1	15659713	15662033	2321	+	ENSG00000215695.2	RSC1A1	RSC1A1	0.665	3.77	7.96	0.0146	0.14	1.84	RSC1A1
chr17	35809482	35864615	55134	+	ENSG00000270647.7	TAF15	TAF15	0.358	7.67	7.97	0.0146	0.14	1.84	TAF15
chr7	140084746	140176983	92238	-	ENSG00000006459.11	KDM7A	KDM7A	-0.514	6.29	7.95	0.0147	0.14	1.83	KDM7A
chr11	94415570	94493885	78316	-	ENSG00000020922.13	MRE11	MRE11	0.423	5.45	7.95	0.0147	0.14	1.83	MRE11
chr19	44747705	44760044	12340	+	ENSG00000069399.15	BCL3	BCL3	-1.23	3.49	7.94	0.0147	0.14	1.83	BCL3
chr20	43558968	43588237	29270	+	ENSG00000101049.18	SGK2	SGK2	-1.91	-0.752	7.95	0.0147	0.14	1.83	SGK2
chr16	84565596	84618078	52483	-	ENSG00000103187.8	COTL1	COTL1	0.558	10.3	7.95	0.0147	0.14	1.83	COTL1
chr10	68901286	68946847	45562	+	ENSG00000107625.14	DDX50	DDX50	0.341	5.21	7.95	0.0147	0.14	1.83	DDX50
chr1	244454377	244641177	186801	+	ENSG00000179397.18	CATSPERE	CATSPERE	-0.962	-0.137	7.95	0.0147	0.14	1.83	CATSPERE
chr15	88621337	88632281	10945	+	ENSG00000181026.15	AEN	AEN	0.513	5.13	7.94	0.0147	0.14	1.83	AEN
chrX	119588337	119606443	18107	-	ENSG00000186416.18	NKRF	NKRF	0.409	4.17	7.95	0.0147	0.14	1.83	NKRF
chr10	102106489	102120368	13880	-	ENSG00000198728.11	LDB1	LDB1	-0.303	7.15	7.94	0.0147	0.14	1.83	LDB1
chr10	46005088	46030623	25536	-	ENSG00000266412.6	NCOA4	NCOA4	-0.412	9.58	7.94	0.0147	0.14	1.83	NCOA4
chr20	33675477	33686385	10909	-	ENSG00000101412.13	E2F1	E2F1	1.47	3.16	7.92	0.0148	0.14	1.83	E2F1
chr16	29858357	29863414	5058	-	ENSG00000103502.14	CDIPT	CDIPT	-0.362	5.45	7.93	0.0148	0.14	1.83	CDIPT
chr7	130486171	130506465	20295	+	ENSG00000106484.16	MEST	MEST	1.16	-0.331	7.93	0.0148	0.14	1.83	MEST
chr1	173799550	173824883	25334	-	ENSG00000120334.16	CENPL	CENPL	0.412	3.09	7.91	0.0148	0.14	1.83	CENPL
chr1	28259518	28282491	22974	+	ENSG00000130766.5	SESN2	SESN2	-0.376	5.74	7.92	0.0148	0.14	1.83	SESN2
chr16	71626161	71642114	15954	+	ENSG00000140832.11	MARVELD3	MARVELD3	-1.25	1.34	7.92	0.0148	0.14	1.83	MARVELD3
chr3	183487551	183555706	68156	-	ENSG00000172578.12	KLHL6	KLHL6	-0.346	7.66	7.93	0.0148	0.14	1.83	KLHL6
chr11	62662817	62665210	2394	-	ENSG00000278615.5	C11orf98	C11orf98	0.33	4.66	7.93	0.0148	0.14	1.83	C11orf98
chr19	17951293	18000085	48793	+	ENSG00000105642.16	KCNN1	KCNN1	-0.925	2.17	7.89	0.0149	0.14	1.83	KCNN1
chr2	61868085	61888671	20587	-	ENSG00000115484.15	CCT4	CCT4	0.251	6.97	7.91	0.0149	0.14	1.83	CCT4
chr7	36153254	36301538	148285	+	ENSG00000122547.11	EEPD1	EEPD1	-1.3	4.55	7.91	0.0149	0.14	1.83	EEPD1
chr1	166895711	166975540	79830	-	ENSG00000143195.13	ILDR2	ILDR2	-0.69	4.77	7.9	0.0149	0.14	1.83	ILDR2
chr17	4733533	4739928	6396	-	ENSG00000161921.17	CXCL16	CXCL16	-0.284	7.91	7.91	0.0149	0.14	1.83	CXCL16
chr6	75749201	75919537	170337	+	ENSG00000196586.17	MYO6	MYO6	0.305	5.41	7.9	0.0149	0.14	1.83	MYO6
chr4	99816827	99870190	53364	+	ENSG00000070190.13	DAPP1	DAPP1	0.261	5.28	7.88	0.015	0.14	1.82	DAPP1
chr12	92770637	92929331	158695	-	ENSG00000102189.17	EEA1	EEA1	0.484	6.13	7.88	0.015	0.14	1.82	EEA1
chr2	169584342	169641406	57065	+	ENSG00000138398.17	PPIG	PPIG	0.345	6.91	7.88	0.015	0.14	1.82	PPIG
chr8	25184689	25418082	233394	+	ENSG00000147459.18	DOCK5	DOCK5	0.768	6.23	7.89	0.015	0.14	1.82	DOCK5
chr11	867859	915058	47200	-	ENSG00000177830.18	CHID1	CHID1	-0.633	5.09	7.89	0.015	0.14	1.82	CHID1
chr5	178859953	178888122	28170	+	ENSG00000178338.11	ZNF354B	ZNF354B	-0.524	4.04	7.88	0.015	0.14	1.82	ZNF354B
chr14	99645129	99680569	35441	+	ENSG00000182218.10	HHIPL1	HHIPL1	-1.61	1.19	7.89	0.015	0.14	1.82	HHIPL1
chr6	26087281	26098343	11063	+	ENSG00000010704.19	HFE	HFE	-0.413	5.26	7.87	0.0151	0.141	1.82	HFE
chr17	56834107	56869567	35461	+	ENSG00000153933.10	DGKE	DGKE	0.879	4.31	7.86	0.0151	0.141	1.82	DGKE
chrX	134373288	134428791	55504	+	ENSG00000156531.18	PHF6	PHF6	0.404	5.76	7.86	0.0151	0.141	1.82	PHF6
chr1	156308968	156367873	58906	-	ENSG00000163468.15	CCT3	CCT3	0.382	7.55	7.86	0.0151	0.141	1.82	CCT3
chr4	150078445	150257438	178994	+	ENSG00000170390.16	DCLK2	DCLK2	-0.356	3.53	7.86	0.0151	0.141	1.82	DCLK2
chr19	4043303	4066899	23597	-	ENSG00000178951.9	ZBTB7A	ZBTB7A	-0.355	6.06	7.86	0.0151	0.141	1.82	ZBTB7A
chr7	149472696	149497817	25122	-	ENSG00000181220.18	ZNF746	ZNF746	-0.318	5.36	7.86	0.0151	0.141	1.82	ZNF746
chr1	25861484	25875708	14225	-	ENSG00000182749.6	PAQR7	PAQR7	-0.435	4.91	7.86	0.0151	0.141	1.82	PAQR7
chr16	2968024	2980479	12456	-	ENSG00000127564.17	PKMYT1	PKMYT1	1.29	3.1	7.85	0.0152	0.141	1.82	PKMYT1
chr1	167529117	167553805	24689	-	ENSG00000143162.9	CREG1	CREG1	-0.831	8.08	7.85	0.0152	0.141	1.82	CREG1
chr1	211940399	212035557	95159	-	ENSG00000143493.13	INTS7	INTS7	0.497	4.36	7.85	0.0152	0.141	1.82	INTS7
chr10	87050202	87094843	44642	-	ENSG00000148672.10	GLUD1	GLUD1	0.343	7.33	7.85	0.0152	0.141	1.82	GLUD1
chr13	20403666	20525873	122208	-	ENSG00000165475.15	CRYL1	CRYL1	-0.644	4.58	7.85	0.0152	0.141	1.82	CRYL1
chr3	49359139	49412998	53860	-	ENSG00000067560.14	RHOA	RHOA	0.238	8.84	7.82	0.0153	0.141	1.81	RHOA
chr15	66336191	66386746	50556	-	ENSG00000075131.10	TIPIN	TIPIN	0.613	2.74	7.83	0.0153	0.141	1.82	TIPIN
chr16	50742050	50801935	59886	+	ENSG00000083799.18	CYLD	CYLD	0.303	7.11	7.82	0.0153	0.141	1.81	CYLD
chr17	5432777	5448830	16054	-	ENSG00000108561.8	C1QBP	C1QBP	0.476	6.03	7.83	0.0153	0.141	1.82	C1QBP
chr13	30713478	30764426	50949	+	ENSG00000132965.10	ALOX5AP	ALOX5AP	0.496	9.87	7.83	0.0153	0.141	1.82	ALOX5AP
chr11	63998558	64166113	167556	-	ENSG00000133315.12	MACROD1	MACROD1	-0.622	1.94	7.83	0.0153	0.141	1.82	MACROD1
chr19	4360370	4400547	40178	-	ENSG00000141985.9	SH3GL1	SH3GL1	-0.339	6.36	7.83	0.0153	0.141	1.82	SH3GL1
chr1	202961873	202967275	5403	-	ENSG00000159348.13	CYB5R1	CYB5R1	-0.507	5.83	7.83	0.0153	0.141	1.82	CYB5R1
chr15	74954418	74956772	2355	-	ENSG00000178718.7	RPP25	RPP25	-0.885	4.78	7.83	0.0153	0.141	1.82	RPP25
chr19	57435325	57447101	11777	+	ENSG00000186230.7	ZNF749	ZNF749	-0.778	2.4	7.83	0.0153	0.141	1.82	ZNF749
chr2	224470150	224585397	115248	-	ENSG00000036257.14	CUL3	CUL3	0.351	6.29	7.8	0.0154	0.141	1.81	CUL3
chr10	103967140	104029233	62094	+	ENSG00000065613.15	SLK	SLK	0.39	6.6	7.8	0.0154	0.141	1.81	SLK
chr20	18288283	18316996	28714	+	ENSG00000125846.17	ZNF133	ZNF133	-0.439	3.47	7.8	0.0154	0.141	1.81	ZNF133
chr16	90019629	90044975	25347	+	ENSG00000141013.17	GAS8	GAS8	-1.49	0.712	7.8	0.0154	0.141	1.81	GAS8
chr3	10026370	10101932	75563	+	ENSG00000144554.13	FANCD2	FANCD2	0.446	5.21	7.81	0.0154	0.141	1.81	FANCD2
chr13	38687077	38887131	200055	+	ENSG00000150893.11	FREM2	FREM2	-1.31	-0.635	7.81	0.0154	0.141	1.81	FREM2
chr12	103930107	103953931	23825	+	ENSG00000166598.16	HSP90B1	HSP90B1	0.303	9.3	7.81	0.0154	0.141	1.81	HSP90B1
chr19	36534774	36605276	70503	-	ENSG00000186020.13	ZNF529	ZNF529	-0.569	3.53	7.8	0.0154	0.141	1.81	ZNF529
chr19	35774532	35788822	14291	+	ENSG00000004777.19	ARHGAP33	ARHGAP33	0.792	4.22	7.78	0.0155	0.142	1.81	ARHGAP33
chr8	56957931	56993867	35937	-	ENSG00000104331.9	BPNT2	BPNT2	0.447	6.66	7.78	0.0155	0.142	1.81	BPNT2
chr19	7522624	7534009	11386	+	ENSG00000090674.16	MCOLN1	MCOLN1	-0.756	5.57	7.77	0.0156	0.142	1.81	MCOLN1
chr7	16791811	16833433	41623	-	ENSG00000106541.12	AGR2	AGR2	-1.36	0.539	7.77	0.0156	0.142	1.81	AGR2
chr4	87975667	87983532	7866	+	ENSG00000118785.15	SPP1	SPP1	0.684	12.8	7.78	0.0156	0.142	1.81	SPP1
chr11	128891356	128921163	29808	+	ENSG00000120457.12	KCNJ5	KCNJ5	-1.1	4.95	7.77	0.0156	0.142	1.81	KCNJ5
chr22	31160182	31207019	46838	+	ENSG00000138942.17	RNF185	RNF185	-0.39	5.84	7.76	0.0156	0.142	1.81	RNF185
chr11	125625163	125676255	51093	+	ENSG00000149554.14	CHEK1	CHEK1	1.08	3.35	7.77	0.0156	0.142	1.81	CHEK1
chr2	168834132	168913371	79240	-	ENSG00000152253.9	SPC25	SPC25	1.01	3.25	7.76	0.0156	0.142	1.81	SPC25
chr5	39371675	39462300	90626	-	ENSG00000153071.15	DAB2	DAB2	-0.979	8.1	7.78	0.0156	0.142	1.81	DAB2
chr11	74988279	75018893	30615	+	ENSG00000162139.10	NEU3	NEU3	-0.65	5.35	7.78	0.0156	0.142	1.81	NEU3
chr1	116372668	116410261	37594	+	ENSG00000163399.16	ATP1A1	ATP1A1	0.328	8.93	7.76	0.0156	0.142	1.81	ATP1A1
chr1	38862493	38873368	10876	-	ENSG00000214114.9	MYCBP	MYCBP	0.786	4.02	7.76	0.0156	0.142	1.81	MYCBP
chr16	30092314	30096915	4602	-	ENSG00000090238.12	YPEL3	YPEL3	-0.342	5.52	7.75	0.0157	0.142	1.8	YPEL3
chr18	158383	214629	56247	+	ENSG00000101557.15	USP14	USP14	0.349	5.79	7.75	0.0157	0.142	1.8	USP14
chr17	74748628	74769353	20726	+	ENSG00000109062.12	SLC9A3R1	SLC9A3R1	0.692	5.47	7.75	0.0157	0.142	1.8	SLC9A3R1
chr1	26693236	26782104	88869	+	ENSG00000117713.21	ARID1A	ARID1A	0.475	8.12	7.75	0.0157	0.142	1.8	ARID1A
chr2	226731312	226799820	68509	-	ENSG00000169047.6	IRS1	IRS1	-1.52	-0.373	7.75	0.0157	0.142	1.8	IRS1
chr15	34851782	34969742	117961	-	ENSG00000021776.11	AQR	AQR	0.306	6.43	7.74	0.0158	0.142	1.8	AQR
chrX	154487306	154490690	3385	-	ENSG00000126903.16	SLC10A3	SLC10A3	-0.389	3.96	7.73	0.0158	0.142	1.8	SLC10A3
chr17	39637090	39664201	27112	+	ENSG00000131748.16	STARD3	STARD3	-0.453	5.97	7.73	0.0158	0.142	1.8	STARD3
chr2	10783391	10837977	54587	-	ENSG00000143870.13	PDIA6	PDIA6	0.24	7.39	7.73	0.0158	0.142	1.8	PDIA6
chr1	11066618	11099869	33252	-	ENSG00000171824.14	EXOSC10	EXOSC10	0.224	6.06	7.74	0.0158	0.142	1.8	EXOSC10
chr16	25691959	26137685	445727	+	ENSG00000182601.7	HS3ST4	HS3ST4	-0.684	2.93	7.74	0.0158	0.142	1.8	HS3ST4
chr3	9808086	9855138	47053	+	ENSG00000214021.18	TTLL3	TTLL3	-0.295	6.12	7.73	0.0158	0.142	1.8	TTLL3
chr12	14942031	14961728	19698	-	ENSG00000111348.9	ARHGDIB	ARHGDIB	0.246	9.03	7.71	0.0159	0.143	1.8	ARHGDIB
chr5	179806398	179838078	31681	+	ENSG00000161011.20	SQSTM1	SQSTM1	-1.26	7.73	7.72	0.0159	0.143	1.8	SQSTM1
chr2	102311529	102398777	87249	+	ENSG00000115604.12	IL18R1	IL18R1	0.513	3.17	7.69	0.016	0.143	1.79	IL18R1
chrX	120258650	120311556	52907	-	ENSG00000125355.16	TMEM255A	TMEM255A	-1.02	6.79	7.69	0.016	0.143	1.8	TMEM255A
chr19	18340598	18369950	29353	+	ENSG00000130517.14	PGPEP1	PGPEP1	-0.329	7.71	7.7	0.016	0.143	1.8	PGPEP1
chr1	52345723	52366205	20483	-	ENSG00000154222.15	CC2D1B	CC2D1B	-0.282	5.83	7.7	0.016	0.143	1.8	CC2D1B
chr4	84668765	84966690	297926	-	ENSG00000163625.17	WDFY3	WDFY3	0.472	7.35	7.7	0.016	0.143	1.8	WDFY3
chr16	28974221	28984548	10328	+	ENSG00000169682.18	SPNS1	SPNS1	-0.462	6.34	7.69	0.016	0.143	1.79	SPNS1
chr19	22052430	22091480	39051	+	ENSG00000197134.13	ZNF257	ZNF257	-1.08	1.51	7.7	0.016	0.143	1.8	ZNF257
chr4	38966744	39032922	66179	-	ENSG00000121895.8	TMEM156	TMEM156	0.57	4.91	7.68	0.0161	0.144	1.79	TMEM156
chr8	33473386	33513185	39800	-	ENSG00000129696.13	TTI2	TTI2	-0.341	3.53	7.68	0.0161	0.144	1.79	TTI2
chr20	34872146	34927962	55817	+	ENSG00000131069.20	ACSS2	ACSS2	0.262	6.04	7.66	0.0162	0.144	1.79	ACSS2
chr1	16440721	16460078	19358	+	ENSG00000157191.20	NECAP2	NECAP2	-0.347	6.8	7.65	0.0162	0.145	1.79	NECAP2
chr11	65892049	65900573	8525	-	ENSG00000175592.9	FOSL1	FOSL1	1.11	0.817	7.65	0.0162	0.145	1.79	FOSL1
chr11	494512	507300	12789	-	ENSG00000023191.17	RNH1	RNH1	-0.37	6.33	7.63	0.0163	0.145	1.79	RNH1
chr1	52895910	52927212	31303	-	ENSG00000121310.17	ECHDC2	ECHDC2	-0.459	5	7.64	0.0163	0.145	1.79	ECHDC2
chr3	50354750	50359521	4772	-	ENSG00000126062.4	TMEM115	TMEM115	-0.407	5.25	7.64	0.0163	0.145	1.79	TMEM115
chr16	29992330	29996074	3745	-	ENSG00000149929.16	HIRIP3	HIRIP3	0.563	4.35	7.65	0.0163	0.145	1.79	HIRIP3
chr12	120443964	120446384	2421	-	ENSG00000170855.4	TRIAP1	TRIAP1	0.419	4.21	7.63	0.0163	0.145	1.79	TRIAP1
chr18	63123346	63320128	196783	-	ENSG00000171791.14	BCL2	BCL2	1.12	4.7	7.63	0.0163	0.145	1.79	BCL2
chr10	58512872	58831435	318564	+	ENSG00000122870.12	BICC1	BICC1	1.09	0.822	7.63	0.0164	0.145	1.79	BICC1
chr16	56608584	56609497	914	+	ENSG00000125148.7	MT2A	MT2A	1.47	0.665	7.63	0.0164	0.145	1.79	MT2A
chr1	203212827	203273641	60815	-	ENSG00000133063.16	CHIT1	CHIT1	-1.44	6.13	7.63	0.0164	0.145	1.79	CHIT1
chr1	42846573	42852477	5905	+	ENSG00000164011.18	ZNF691	ZNF691	-0.373	3.72	7.63	0.0164	0.145	1.79	ZNF691
chr3	48223347	48225491	2145	+	ENSG00000164047.6	CAMP	CAMP	-2.56	1.68	7.62	0.0164	0.145	1.78	CAMP
chr9	70043848	70226972	183125	+	ENSG00000165072.10	MAMDC2	MAMDC2	-2.21	0.404	7.63	0.0164	0.145	1.79	MAMDC2
chr19	45782947	45792845	9899	-	ENSG00000185800.12	DMWD	DMWD	1.11	0.697	7.62	0.0164	0.145	1.78	DMWD
chr5	177483394	177497606	14213	-	ENSG00000196923.14	PDLIM7	PDLIM7	0.462	4.68	7.62	0.0164	0.145	1.78	PDLIM7
chr3	131381671	131388830	7160	+	ENSG00000198585.12	NUDT16	NUDT16	-0.267	6.56	7.63	0.0164	0.145	1.79	NUDT16
chr19	18588685	18592337	3653	+	ENSG00000006015.18	REX1BD	REX1BD	-0.624	4.15	7.6	0.0165	0.145	1.78	REX1BD
chr3	38039205	38124025	84821	+	ENSG00000008226.20	DLEC1	DLEC1	-1.61	0.0563	7.6	0.0165	0.145	1.78	DLEC1
chr1	236549005	236604516	55512	-	ENSG00000119285.11	HEATR1	HEATR1	0.465	5.78	7.6	0.0165	0.145	1.78	HEATR1
chr12	57723761	57742157	18397	-	ENSG00000135439.12	AGAP2	AGAP2	1.25	1.98	7.6	0.0165	0.145	1.78	AGAP2
chr16	31427731	31428360	630	-	ENSG00000156885.6	COX6A2	COX6A2	-3.69	-0.998	7.61	0.0165	0.145	1.78	COX6A2
chr8	144449582	144465430	15849	-	ENSG00000291316.1	NA	NA	-0.512	3.29	7.6	0.0165	0.145	1.78	ENSG00000291316.1
chr16	74871362	75000173	128812	-	ENSG00000103091.15	WDR59	WDR59	0.395	5	7.59	0.0166	0.145	1.78	WDR59
chr9	131289459	131359022	69564	+	ENSG00000160539.6	PLPP7	PLPP7	-1.02	0.0441	7.59	0.0166	0.145	1.78	PLPP7
chr11	69048932	69136316	87385	+	ENSG00000162341.18	TPCN2	TPCN2	-0.361	3.92	7.6	0.0166	0.145	1.78	TPCN2
chr3	58237532	58295693	58162	+	ENSG00000163686.15	ABHD6	ABHD6	-0.469	4.22	7.59	0.0166	0.145	1.78	ABHD6
chr2	112736349	112764664	28316	-	ENSG00000169607.13	CKAP2L	CKAP2L	1.2	4.38	7.58	0.0166	0.145	1.78	CKAP2L
chr11	73675638	73761137	85500	-	ENSG00000175582.20	RAB6A	RAB6A	0.357	7.1	7.59	0.0166	0.145	1.78	RAB6A
chr5	69560191	69595221	35031	+	ENSG00000183474.16	GTF2H2C	GTF2H2C	0.455	5.07	7.59	0.0166	0.145	1.78	GTF2H2C
chr19	52031378	52095738	64361	-	ENSG00000256087.7	ZNF432	ZNF432	-0.444	3.47	7.59	0.0166	0.145	1.78	ZNF432
chr19	8206736	8262421	55686	+	ENSG00000090661.12	CERS4	CERS4	-0.51	5.56	7.57	0.0167	0.146	1.78	CERS4
chr8	18055992	18084998	29007	-	ENSG00000104763.20	ASAH1	ASAH1	-1.05	10.3	7.57	0.0167	0.145	1.78	ASAH1
chr1	243124428	243255348	130921	-	ENSG00000143702.16	CEP170	CEP170	0.381	7.69	7.56	0.0167	0.146	1.78	CEP170
chr11	537527	554912	17386	+	ENSG00000161328.11	LRRC56	LRRC56	-1.24	0.468	7.57	0.0167	0.146	1.78	LRRC56
chr5	96760810	96808100	47291	-	ENSG00000164307.13	ERAP1	ERAP1	0.409	6.7	7.57	0.0167	0.146	1.78	ERAP1
chr3	49020459	49023495	3037	+	ENSG00000178057.15	NDUFAF3	NDUFAF3	-0.461	4.14	7.58	0.0167	0.145	1.78	NDUFAF3
chr7	149262171	149297302	35132	+	ENSG00000204946.10	ZNF783	ZNF783	-0.275	4.84	7.58	0.0167	0.145	1.78	ZNF783
chr15	28884483	29118315	233833	+	ENSG00000034053.15	APBA2	APBA2	-0.793	4.4	7.55	0.0168	0.146	1.77	APBA2
chr14	45115599	45135319	19721	-	ENSG00000100442.11	FKBP3	FKBP3	0.304	5.25	7.56	0.0168	0.146	1.78	FKBP3
chr5	179911651	180072113	160463	-	ENSG00000113269.14	RNF130	RNF130	-0.461	7.84	7.55	0.0168	0.146	1.77	RNF130
chr3	179396088	179451476	55389	-	ENSG00000114450.11	GNB4	GNB4	-0.359	8.71	7.56	0.0168	0.146	1.78	GNB4
chr1	173183731	173207331	23601	-	ENSG00000117586.11	TNFSF4	TNFSF4	-0.809	0.97	7.56	0.0168	0.146	1.78	TNFSF4
chr20	45833799	45843276	9478	+	ENSG00000124104.19	SNX21	SNX21	-0.755	1.92	7.55	0.0168	0.146	1.77	SNX21
chr2	127843553	127858155	14603	-	ENSG00000144231.11	POLR2D	POLR2D	0.234	5.52	7.55	0.0168	0.146	1.77	POLR2D
chr13	97953658	98024296	70639	+	ENSG00000065150.21	IPO5	IPO5	0.426	7.12	7.53	0.0169	0.146	1.77	IPO5
chr1	75202129	75611114	408986	-	ENSG00000137968.17	SLC44A5	SLC44A5	-2.54	-1.23	7.53	0.0169	0.146	1.77	SLC44A5
chr2	169810081	169824931	14851	-	ENSG00000138382.15	METTL5	METTL5	0.424	3.59	7.53	0.0169	0.146	1.77	METTL5
chr14	23047062	23057538	10477	-	ENSG00000139880.21	CDH24	CDH24	0.912	0.152	7.53	0.0169	0.146	1.77	CDH24
chrX	57134530	57137523	2994	-	ENSG00000147059.9	SPIN2A	SPIN2A	-1	0.123	7.53	0.0169	0.146	1.77	SPIN2A
chr5	149993118	150000654	7537	-	ENSG00000164296.7	TIGD6	TIGD6	-0.562	2.84	7.53	0.0169	0.146	1.77	TIGD6
chr10	113679162	113730907	51746	+	ENSG00000165806.21	CASP7	CASP7	0.481	4.44	7.53	0.0169	0.146	1.77	CASP7
chr8	38974228	38988663	14436	+	ENSG00000169495.5	HTRA4	HTRA4	-0.985	1.18	7.54	0.0169	0.146	1.77	HTRA4
chr17	28950513	29057216	106704	+	ENSG00000179761.12	PIPOX	PIPOX	-0.807	3.1	7.54	0.0169	0.146	1.77	PIPOX
chr7	100101549	100110345	8797	+	ENSG00000221838.10	AP4M1	AP4M1	-0.468	4.29	7.54	0.0169	0.146	1.77	AP4M1
chr19	14119512	14136613	17102	-	ENSG00000105011.9	ASF1B	ASF1B	1.05	3.89	7.52	0.017	0.146	1.77	ASF1B
chr19	1383527	1395589	12063	+	ENSG00000115286.21	NDUFS7	NDUFS7	-0.426	5.55	7.52	0.017	0.146	1.77	NDUFS7
chr2	86143932	86195472	51541	-	ENSG00000132305.22	IMMT	IMMT	0.221	6.94	7.53	0.017	0.146	1.77	IMMT
chr14	93184951	93188463	3513	+	ENSG00000153485.6	TMEM251	TMEM251	-0.708	5.35	7.52	0.017	0.146	1.77	TMEM251
chr16	70454595	70480274	25680	+	ENSG00000157353.17	FCSK	FCSK	-0.368	4.37	7.52	0.017	0.146	1.77	FCSK
chr4	83455932	83469735	13804	+	ENSG00000163319.11	MRPS18C	MRPS18C	0.399	3.64	7.52	0.017	0.146	1.77	MRPS18C
chr9	111525159	111577844	52686	+	ENSG00000173258.13	ZNF483	ZNF483	-0.653	2.32	7.53	0.017	0.146	1.77	ZNF483
chr6	43522334	43576038	53705	-	ENSG00000124571.18	XPO5	XPO5	0.334	5.69	7.51	0.0171	0.146	1.77	XPO5
chr19	49675786	49689029	13244	+	ENSG00000126457.22	PRMT1	PRMT1	0.337	6.34	7.5	0.0171	0.146	1.77	PRMT1
chr9	87724051	87731469	7419	+	ENSG00000135047.16	CTSL	CTSL	-0.922	8.09	7.5	0.0171	0.146	1.77	CTSL
chr6	16238587	16295549	56963	+	ENSG00000137198.10	GMPR	GMPR	0.453	2.32	7.5	0.0171	0.146	1.77	GMPR
chr3	121835183	121886526	51344	+	ENSG00000145088.9	EAF2	EAF2	0.537	3.09	7.5	0.0171	0.146	1.77	EAF2
chr5	98853985	98929007	75023	-	ENSG00000153922.12	CHD1	CHD1	0.419	6.48	7.51	0.0171	0.146	1.77	CHD1
chr2	108533671	108687246	153576	+	ENSG00000169756.17	LIMS1	LIMS1	0.301	7.89	7.51	0.0171	0.146	1.77	LIMS1
chr3	42013802	42225890	212089	+	ENSG00000182606.17	TRAK1	TRAK1	-0.281	7	7.5	0.0171	0.146	1.77	TRAK1
chr3	190514051	190659750	145700	+	ENSG00000196083.11	IL1RAP	IL1RAP	0.373	5.14	7.5	0.0171	0.146	1.77	IL1RAP
chr20	45361937	45376798	14862	+	ENSG00000204070.10	SYS1	SYS1	-0.473	5.76	7.5	0.0171	0.146	1.77	SYS1
chr2	37099210	37157522	58313	-	ENSG00000055332.19	EIF2AK2	EIF2AK2	0.495	6.91	7.48	0.0172	0.146	1.76	EIF2AK2
chr9	128633653	128656847	23195	-	ENSG00000119333.12	DYNC2I2	DYNC2I2	0.682	2.53	7.48	0.0172	0.146	1.76	DYNC2I2
